trade_date,代码,涨跌幅
2026-08-11,920000,-3.943
2026-08-11,920001,-1.59
2026-08-11,920002,2.985
2026-08-11,920003,-0.294
2026-08-11,920005,-2.601
2026-08-11,920006,-5.627
2026-08-11,920007,-1.043
2026-08-11,920008,-2.667
2026-08-11,920009,2.296
2026-08-11,920010,0.0
2026-08-11,920011,1.025
2026-08-11,920012,-2.569
2026-08-11,920014,-1.218
2026-08-11,920015,-2.786
2026-08-11,920016,1.157
2026-08-11,920017,-0.843
2026-08-11,920018,-4.024
2026-08-11,920019,-2.699
2026-08-11,920020,-1.227
2026-08-11,920021,-1.762
2026-08-11,920022,-0.809
2026-08-11,920023,-1.563
2026-08-11,920026,-0.713
2026-08-11,920027,-0.679
2026-08-11,920028,-3.253
2026-08-11,920029,1.333
2026-08-11,920030,-0.443
2026-08-11,920033,-0.343
2026-08-11,920035,-2.538
2026-08-11,920036,-2.408
2026-08-11,920037,-0.914
2026-08-11,920038,-9.661
2026-08-11,920039,-0.745
2026-08-11,920045,3.679
2026-08-11,920046,-3.086
2026-08-11,920047,-0.94
2026-08-11,920050,-1.17
2026-08-11,920055,-2.017
2026-08-11,920056,-1.757
2026-08-11,920057,-1.587
2026-08-11,920058,1.988
2026-08-11,920060,-1.486
2026-08-11,920061,-3.83
2026-08-11,920062,-2.545
2026-08-11,920065,-3.745
2026-08-11,920066,-0.876
2026-08-11,920068,-3.448
2026-08-11,920069,-1.231
2026-08-11,920072,-0.706
2026-08-11,920075,-1.82
2026-08-11,920076,-1.623
2026-08-11,920077,-2.842
2026-08-11,920078,-4.209
2026-08-11,920079,-2.027
2026-08-11,920080,-0.275
2026-08-11,920081,-2.939
2026-08-11,920082,-2.11
2026-08-11,920083,-4.144
2026-08-11,920086,-2.317
2026-08-11,920087,-3.568
2026-08-11,920088,8.461
2026-08-11,920089,-2.19
2026-08-11,920090,0.513
2026-08-11,920091,-1.377
2026-08-11,920092,1.536
2026-08-11,920096,-1.966
2026-08-11,920098,-1.081
2026-08-11,920099,0.051
2026-08-11,920100,5.427
2026-08-11,920101,-2.009
2026-08-11,920106,-0.871
2026-08-11,920108,-1.083
2026-08-11,920110,-1.318
2026-08-11,920111,-1.934
2026-08-11,920112,-1.587
2026-08-11,920116,-6.917
2026-08-11,920117,-3.363
2026-08-11,920118,-2.677
