买入广度,卖出广度,综合分阈值,风险分阈值,累计收益,年化收益,最大回撤,交易次数,交易胜率,日胜率,相对胜率,profit_factor,最长连续亏损,持仓占比,组合数
0.7,0.35,"54,56,58,60",45.0,0.7961893064828454,0.6355196618005143,-0.05890470212352761,88.0,0.6136363636363636,0.5373134328358209,0.5033333333333333,3.0731714681716507,8.0,0.67,4
0.7,0.35,"62,65",45.0,0.773679373310378,0.6182853293319432,-0.06151041706913141,87.0,0.6091954022988506,0.5323383084577115,0.5,2.9691076562868473,8.0,0.67,2
0.7,0.35,"54,56,58,60,62,65",50.0,0.6165857600934153,0.4970039597682776,-0.10103433946916762,89.0,0.5842696629213483,0.5223880597014925,0.5,2.2921976459840607,8.0,0.67,6
0.7,0.4,"54,56,58,60",45.0,0.6130429351637094,0.4942476414060559,-0.07004991103480851,89.0,0.5730337078651685,0.5078534031413613,0.48333333333333334,2.430315045814257,6.0,0.6366666666666667,4
0.7,0.4,"62,65",45.0,0.5928282013693358,0.4785019666557955,-0.08170409151611036,88.0,0.5681818181818182,0.5026178010471204,0.48,2.3588543358416927,6.0,0.6366666666666667,2
0.7,0.45,"54,56,58,60",45.0,0.5920963601637459,0.4779313228855242,-0.07004991103480829,90.0,0.5666666666666667,0.5026455026455027,0.48333333333333334,2.3877564580681865,6.0,0.63,4
0.6,0.35,"54,56,58,60",45.0,0.5755397520105912,0.4650102618750094,-0.1174296464350354,112.0,0.5892857142857143,0.5347826086956522,0.5133333333333333,1.8845363057200422,9.0,0.7666666666666667,4
0.7,0.45,"62,65",45.0,0.572144129882634,0.46235758178094777,-0.0817040915161108,89.0,0.5617977528089888,0.4973544973544973,0.48,2.317605596321198,6.0,0.63,2
0.6,0.35,"62,65",45.0,0.555795009961233,0.44957267679870205,-0.11742964643503506,111.0,0.5855855855855856,0.5304347826086957,0.51,1.8470505679377185,9.0,0.7666666666666667,2
0.65,0.35,"54,56,58,60",45.0,0.5427309849888966,0.4393412428940895,-0.12282617398200468,97.0,0.5773195876288659,0.5137614678899083,0.49666666666666665,2.016490258978075,9.0,0.7266666666666667,4
0.6,0.45,"54,56,58,60",45.0,0.5345270105716198,0.4329090027101985,-0.07289375832782075,114.0,0.5526315789473685,0.5205479452054794,0.5,1.8593490212663368,7.0,0.73,4
0.65,0.35,"62,65",45.0,0.5233974040295517,0.42417414579636636,-0.1228261739820048,96.0,0.5729166666666666,0.5091743119266054,0.49333333333333335,1.9689332315557209,9.0,0.7266666666666667,2
0.6,0.45,"62,65",45.0,0.5152962422251872,0.4178096855165869,-0.07289375832782063,113.0,0.5486725663716814,0.5159817351598174,0.49666666666666665,1.8210984177116656,7.0,0.73,2
0.55,0.35,"54,56,58,60",45.0,0.5086015059371292,0.412546036901942,-0.11742964643503517,125.0,0.592,0.5299145299145299,0.5066666666666667,1.7211080635597227,9.0,0.78,4
0.65,0.45,"54,56,58,60",45.0,0.5025722857770858,0.40780244247257436,-0.07852558633855877,99.0,0.5353535353535354,0.4975845410628019,0.48333333333333334,1.9947356125238962,7.0,0.69,4
0.55,0.45,"54,56,58,60",45.0,0.4991196289091344,0.4050846333997782,-0.07289375832782063,126.0,0.5714285714285714,0.5178571428571429,0.49666666666666665,1.7477913843994526,7.0,0.7466666666666667,4
0.7,0.5,"54,56,58,60",45.0,0.49310774639995913,0.40034990044295804,-0.06985965992053078,91.0,0.5604395604395604,0.5027027027027027,0.47333333333333333,2.1234449794229713,6.0,0.6166666666666667,4
0.55,0.35,62.0,45.0,0.48969563729624355,0.3976612950087568,-0.11742964643503517,124.0,0.5887096774193549,0.5256410256410257,0.5033333333333333,1.6896282018013644,9.0,0.78,1
0.55,0.35,65.0,45.0,0.4857303675496336,0.39453558285757717,-0.1174296464350354,123.0,0.5853658536585366,0.5256410256410257,0.5033333333333333,1.685362462417833,9.0,0.78,1
0.65,0.45,"62,65",45.0,0.4837419756212651,0.3929676863333995,-0.08226857374080754,98.0,0.5306122448979592,0.4927536231884058,0.48,1.945623351315421,7.0,0.69,2
