买入广度,卖出广度,综合分阈值,风险分阈值,累计收益,年化收益,最大回撤,交易次数,交易胜率,日胜率,相对胜率,profit_factor,最长连续亏损,持仓占比,组合数
0.7,0.35,"54,56,58,60",45.0,0.8200171353653285,0.6537254139814042,-0.05890470212352772,88.0,0.6136363636363636,0.5320197044334976,0.49333333333333335,3.253356699912612,8.0,0.6766666666666666,4
0.7,0.35,"62,65",45.0,0.7972085906635231,0.6362992379090819,-0.06151041706913141,87.0,0.6091954022988506,0.5270935960591133,0.49,3.1367863627891,8.0,0.6766666666666666,2
0.6,0.35,"54,56,58,60",45.0,0.7202612156014672,0.5772454902520063,-0.07261453532698114,113.0,0.6017699115044248,0.5301724137931034,0.51,2.2898458033609916,9.0,0.7733333333333333,4
0.65,0.35,"54,56,58,60",45.0,0.7142824832019052,0.5726395935460806,-0.07047335265499377,98.0,0.5918367346938775,0.5159817351598174,0.49666666666666665,2.620881255306352,9.0,0.73,4
0.6,0.35,"62,65",45.0,0.6987028170169651,0.560625223435016,-0.07261453532698114,112.0,0.5982142857142857,0.5258620689655172,0.5066666666666667,2.23524771278705,9.0,0.7733333333333333,2
0.65,0.35,"62,65",45.0,0.6927990103873571,0.5560678614896319,-0.07047335265499377,97.0,0.5876288659793815,0.5114155251141552,0.49333333333333335,2.543696617428302,9.0,0.73,2
0.7,0.4,"54,56,58,60",45.0,0.665761067085983,0.5351636346403708,-0.07004991103480818,90.0,0.5777777777777777,0.5104166666666666,0.47333333333333333,2.605920867673346,6.0,0.64,4
0.7,0.4,"62,65",45.0,0.6448856670565597,0.5189868065098397,-0.08170409151611047,89.0,0.5730337078651685,0.5052083333333334,0.47,2.5259028042404594,6.0,0.64,2
0.7,0.45,"54,56,58,60",45.0,0.6419849979230445,0.5167364202321096,-0.07004991103480862,91.0,0.5714285714285714,0.5026455026455027,0.47333333333333333,2.5563894778258613,6.0,0.63,4
0.7,0.35,"54,56,58,60,62,65",50.0,0.6380310101716449,0.5136678273706701,-0.1010343394691674,89.0,0.5842696629213483,0.5172413793103449,0.49,2.386829865294807,8.0,0.6766666666666666,6
0.7,0.45,"62,65",45.0,0.621407560767596,0.5007537693695134,-0.0817040915161108,90.0,0.5666666666666667,0.4973544973544973,0.47,2.4779671125776397,6.0,0.63,2
0.6,0.35,"54,56,58,60,62,65",50.0,0.6192962093199499,0.4991120371254605,-0.08038629832914912,113.0,0.584070796460177,0.5172413793103449,0.51,2.011459929133289,9.0,0.7733333333333333,6
0.6,0.4,"54,56,58,60",45.0,0.6188970262506841,0.498801604214848,-0.07194026664433084,115.0,0.5826086956521739,0.5201793721973094,0.49,2.0562415773374685,7.0,0.7433333333333333,4
0.6,0.45,"54,56,58,60",45.0,0.6152075694919281,0.49593184223390985,-0.07194026664433117,116.0,0.5689655172413793,0.5159817351598174,0.49,2.0595969569835746,7.0,0.73,4
0.65,0.35,"54,56,58,60,62,65",50.0,0.6136683787187927,0.4947343069393344,-0.10103433946916773,99.0,0.5656565656565656,0.5068493150684932,0.49666666666666665,2.2270289139506763,9.0,0.73,6
0.65,0.4,"54,56,58,60",45.0,0.6132705830020577,0.4944247805597155,-0.07062155715696383,100.0,0.57,0.5047619047619047,0.4766666666666667,2.2975234594146965,7.0,0.7,4
0.65,0.45,"54,56,58,60",45.0,0.6095939488742237,0.49156339890215395,-0.07062155715696417,101.0,0.5544554455445545,0.5,0.4766666666666667,2.309425874954084,7.0,0.6866666666666666,4
0.55,0.35,"54,56,58,60",45.0,0.6072843320125496,0.4897653790056289,-0.07261453532698059,127.0,0.5984251968503937,0.5254237288135594,0.5066666666666667,1.9718137329284202,9.0,0.7866666666666666,4
0.6,0.4,"62,65",45.0,0.5986089286974459,0.4830079419588844,-0.07194026664433095,114.0,0.5789473684210527,0.515695067264574,0.4866666666666667,2.0105000358305483,7.0,0.7433333333333333,2
0.6,0.5,"54,56,58,60",45.0,0.5985173910713064,0.48293661032634505,-0.0717504022629174,117.0,0.5726495726495726,0.5231481481481481,0.49,2.0143459590558135,7.0,0.72,4
