date,execution_trade_date,动作前持仓,持有板块,信号板块,动作,综合博弈得分,逃顶风险分,入场共振分,市场广度,overnight_ret,execution_intraday_ret,strategy_ret,benchmark_ret,hs300_ret
2026-06-24,,空仓,空仓,,空仓,0.0,0.0,0.0,0.3548387096774194,0.0,0.0,0.0,-0.002835399915887907,0.015594515093805716
2026-06-23,2026-06-24,环保,空仓,环保,卖出,51.5,0.0,100.0,0.16129032258064516,-0.0029749153978346765,0.0,-0.0029749153978346765,-0.0036203625985394695,0.004804258092167446
2026-06-22,2026-06-23,空仓,环保,环保,买入,70.4,8.5,93.8,0.8709677419354839,0.0,-0.0044043784985814405,-0.0044043784985814405,-0.013320701584836737,-0.02772361294003911
2026-06-18,,空仓,空仓,,空仓,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.013366335028096333,0.023890849904853795
2026-06-17,2026-06-18,国防军工,空仓,国防军工,卖出,60.0,51.3,50.7,0.2903225806451613,-0.00954503428409581,0.0,-0.00954503428409581,-0.006798637004911102,0.0020710201957414576
2026-06-16,2026-06-17,国防军工,国防军工,国防军工,持有,55.1,67.1,56.2,0.3548387096774194,-0.005661747177253318,0.01953935933132467,0.01376698524153186,-0.0014535101352378677,0.009654332554020817
2026-06-15,2026-06-16,非银金融,国防军工,国防军工,换仓,69.8,14.9,40.3,0.8064516129032258,-0.006253488398582974,-0.003154097085700691,-0.009387861374750228,-0.001072790881793963,-0.0015293211194112866
2026-06-12,2026-06-15,空仓,非银金融,非银金融,买入,92.8,0.0,100.0,0.8709677419354839,0.0,0.016746771671781735,0.016746771671781735,0.01588346187034013,0.023944800862026216
2026-06-11,,空仓,空仓,,空仓,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.01173835430177358,0.011627320953569331
2026-06-10,2026-06-11,基础化工,空仓,基础化工,卖出,63.3,45.7,88.0,0.25806451612903225,0.0034373979248465414,0.0,0.0034373979248465414,-0.0064107080535977835,-0.005513422607706042
2026-06-09,2026-06-10,空仓,基础化工,基础化工,买入,89.1,22.3,70.0,0.8064516129032258,0.0,0.00997444946795567,0.00997444946795567,-0.00898020790423924,-0.011082901847030091
2026-06-08,,空仓,空仓,,空仓,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.01085770448803337,0.018706365955915905
2026-06-05,,空仓,空仓,,空仓,0.0,0.0,0.0,0.41935483870967744,0.0,0.0,0.0,-0.02316470537716287,-0.021441917241926123
2026-06-04,,空仓,空仓,,空仓,0.0,0.0,0.0,0.16129032258064516,0.0,0.0,0.0,-0.0039404548066501194,-0.017906129676666604
2026-06-03,,空仓,空仓,,空仓,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,-0.01073000551481221,-0.006897209428628259
2026-06-02,,空仓,空仓,,空仓,0.0,0.0,0.0,0.25806451612903225,0.0,0.0,0.0,-0.0022633470641245765,0.004934318623297518
2026-06-01,,空仓,空仓,,空仓,0.0,0.0,0.0,0.6774193548387096,0.0,0.0,0.0,-0.0036567241113467006,0.014512651684589928
2026-05-29,,空仓,空仓,,空仓,0.0,0.0,0.0,0.3870967741935484,0.0,0.0,0.0,0.005265420454302665,-0.009784099780236533
2026-05-28,,空仓,空仓,,空仓,0.0,0.0,0.0,0.4838709677419355,0.0,0.0,0.0,-0.007861972677314087,-0.00449553163466776
2026-05-27,,空仓,空仓,,空仓,0.0,0.0,0.0,0.16129032258064516,0.0,0.0,0.0,0.001388137221851862,0.0012310084548801115
2026-05-26,,空仓,空仓,,空仓,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,-0.013267149176114214,-0.008019242301248952
2026-05-25,,空仓,空仓,,空仓,0.0,0.0,0.0,0.5161290322580645,0.0,0.0,0.0,-0.004871519727636474,0.005334040962515774
2026-05-22,,空仓,空仓,,空仓,0.0,0.0,0.0,0.6774193548387096,0.0,0.0,0.0,0.0034889260408888494,0.015789367228014495
2026-05-21,,空仓,空仓,,空仓,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.010698171129581473,0.012961892062212765
2026-05-20,2026-05-21,电子,空仓,电子,卖出,76.9,13.4,13.6,0.25806451612903225,0.016267203077731773,0.0,0.016267203077731773,-0.022889956151994177,-0.013936545241096443
2026-05-19,2026-05-20,空仓,电子,电子,买入,100.0,8.3,2.9,0.7096774193548387,0.0,0.026119611466884463,0.026119611466884463,-0.005993516600850883,-0.00044983569581213967
2026-05-18,,空仓,空仓,,空仓,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.0051253651572870885,0.004005152348264929
2026-05-15,,空仓,空仓,,空仓,0.0,0.0,0.0,0.22580645161290322,0.0,0.0,0.0,-0.004578823967289186,-0.005364441014092058
2026-05-14,,空仓,空仓,,空仓,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,-0.010451236515845331,-0.011191965485875865
2026-05-13,,空仓,空仓,,空仓,0.0,0.0,0.0,0.6451612903225806,0.0,0.0,0.0,-0.018155683404016427,-0.01675455581090357
