date,execution_trade_date,动作前持仓,持有板块,信号板块,动作,综合博弈得分,逃顶风险分,入场共振分,市场广度,overnight_ret,execution_intraday_ret,strategy_ret,benchmark_ret,hs300_ret
2026-07-31,2026-08-03,家用电器,传媒,传媒,换仓,88.9,27.8,61.2,0.8709677419354839,-0.0015293397152759125,0.007251124797973185,0.005710695649563391,0.002487781957737306,-0.009811915225303336
2026-07-30,2026-07-31,家用电器,家用电器,家用电器,持有,69.9,11.7,100.0,0.3870967741935484,-0.008929020057463655,0.01035184043601256,0.0013303885876640997,0.015722979345977935,0.008457003947273778
2026-07-29,2026-07-30,纺织服饰,家用电器,家用电器,换仓,86.9,0.0,100.0,0.9354838709677419,-0.004635603345280792,0.01223793401202422,0.007545600458898072,-0.00786752241533063,-0.010986765536612708
2026-07-28,2026-07-29,纺织服饰,纺织服饰,纺织服饰,持有,65.2,0.0,92.8,0.3870967741935484,-0.001651944317726195,0.014095915922984759,0.012420685937046372,0.01277960948928251,0.006726740027843681
2026-07-27,2026-07-28,空仓,纺织服饰,纺织服饰,买入,76.9,8.6,100.0,0.9354838709677419,0.0,0.013435135892406969,0.013435135892406969,-0.010460075783736702,-0.028262639696686742
2026-07-24,2026-07-27,钢铁,空仓,钢铁,卖出,33.6,5.7,83.3,0.03225806451612903,-1.4094697574851267e-05,0.0,-1.4094697574851267e-05,0.022436256004636262,0.011450376753420421
2026-07-23,2026-07-24,空仓,钢铁,钢铁,买入,81.0,4.7,100.0,0.7419354838709677,0.0,-0.02313584564476079,-0.02313584564476079,-0.025586684414601817,-0.01666877467500738
2026-07-22,,空仓,空仓,,空仓,0.0,0.0,0.0,0.41935483870967744,0.0,0.0,0.0,0.010621573876165222,0.0022805689082434633
2026-07-21,,空仓,空仓,,空仓,0.0,0.0,0.0,0.6774193548387096,0.0,0.0,0.0,-0.0021912104267104546,-0.004638940216013299
2026-07-20,,空仓,空仓,,空仓,0.0,0.0,0.0,0.4838709677419355,0.0,0.0,0.0,0.012865453015050892,0.03064335873875912
2026-07-17,,空仓,空仓,,空仓,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,-0.0007293926799712216,0.015284731276112407
2026-07-16,2026-07-17,交通运输,空仓,交通运输,卖出,38.2,2.3,100.0,0.3225806451612903,-0.0015416186996346504,0.0,-0.0015416186996346504,-0.03619554826018865,-0.036041583217081286
2026-07-15,2026-07-16,交通运输,交通运输,交通运输,持有,74.1,0.0,100.0,0.6129032258064516,-0.005186352018070495,-0.00517355561198829,-0.010333075749469955,-0.010161212654136501,-0.018456863409304747
2026-07-14,2026-07-15,空仓,交通运输,交通运输,买入,74.1,7.7,100.0,0.9032258064516129,0.0,0.015273663617298316,0.015273663617298316,0.005388594835563266,-0.002026268309905488
2026-07-13,,空仓,空仓,,空仓,0.0,0.0,0.0,0.12903225806451613,0.0,0.0,0.0,0.01661374755022657,0.02153583637351386
2026-07-10,,空仓,空仓,,空仓,0.0,0.0,0.0,0.6774193548387096,0.0,0.0,0.0,-0.026692283521990857,-0.017864004399481326
2026-07-09,,空仓,空仓,,空仓,0.0,0.0,0.0,0.5483870967741935,0.0,0.0,0.0,0.0021811829234191136,-0.019589800736946272
2026-07-08,,空仓,空仓,,空仓,0.0,0.0,0.0,0.1935483870967742,0.0,0.0,0.0,0.006022673928585014,0.025397568390631786
2026-07-07,,空仓,空仓,,空仓,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,-0.01085835319241398,-0.007664021708536195
2026-07-06,2026-07-07,家用电器,空仓,家用电器,卖出,51.8,78.6,100.0,0.3225806451612903,-0.0044102338707810995,0.0,-0.0044102338707810995,-0.02085587713447589,-0.010271792760135345
2026-07-03,2026-07-06,综合,家用电器,家用电器,换仓,86.9,11.0,100.0,0.7096774193548387,0.004472842036305158,0.0011116000092632472,0.005589414056817343,-0.0035932555827263273,-3.634731031987304e-05
2026-07-02,2026-07-03,综合,综合,综合,持有,64.7,100.0,44.1,0.3870967741935484,-0.00023239956940290796,-0.009138057696735813,-0.00936833358546485,0.007414167192285922,0.006208678767680276
2026-07-01,2026-07-02,空仓,综合,综合,买入,82.1,41.3,0.0,0.8387096774193549,0.0,0.010163402890667417,0.010163402890667417,-0.009840490414507099,-0.029578882902858927
2026-06-30,,空仓,空仓,,空仓,0.0,0.0,0.0,0.6129032258064516,0.0,0.0,0.0,0.01662882974978044,-0.004108098251547232
2026-06-29,,空仓,空仓,,空仓,0.0,0.0,0.0,0.5161290322580645,0.0,0.0,0.0,0.005108894456283658,0.010658177794811152
2026-06-26,,空仓,空仓,,空仓,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.002233101744643364,0.012057792774606613
2026-06-25,,空仓,空仓,,空仓,0.0,0.0,0.0,0.22580645161290322,0.0,0.0,0.0,-0.023245628732970453,-0.030254950893641053
2026-06-24,,空仓,空仓,,空仓,0.0,0.0,0.0,0.3548387096774194,0.0,0.0,0.0,-0.002835399915887907,0.015594515093805716
2026-06-23,2026-06-24,环保,空仓,环保,卖出,51.5,0.0,100.0,0.16129032258064516,-0.0029749153978346765,0.0,-0.0029749153978346765,-0.0036203625985394695,0.004804258092167446
2026-06-22,2026-06-23,空仓,环保,环保,买入,70.4,8.5,93.8,0.8709677419354839,0.0,-0.0044043784985814405,-0.0044043784985814405,-0.013320701584836737,-0.02772361294003911
