板块名称,对应ETF,指数代码,最新价,涨跌幅,20日涨幅,成交量,成交额,换手率,阶段标签,信号状态,假突破风险,派发风险,第1层_真实趋势,第2层_真假资金,第3层_异动干预,第4层_诱多诱空,第5层_博弈反身,时间确认,市场环境,市场广度,时间确认系数,市场环境系数,政策利好打分,综合博弈得分,snapshot_date,snapshot_time,动态水位,上影线诱多率,情绪过热,中位涨幅,上涨占比,微观标签,趋势加速度,资金流向,出货初期,micro_factor,trend_raw,fund_raw,abnormal_raw,trap_raw,efficiency_raw,基础综合分,高换手占比,异动量比,爆量滞涨,med_trend_raw,micro_raw,第6层_中期确认,第7层_微观结构,dyn_pos,exit_score_raw,逃顶风险分,逃顶信号,开盘价,最高价,最低价,收盘价,vol_mean,vol_std,price_std,last_amount,amplitude,buy_power,入场共振分,三维共振信号,终极信号,行情数据源,行情日期,历史最新日期,数据日期,成分股覆盖数,金额流向,动态水位_3d,market_heat,交易指引
交通运输,交通运输ETF华夏(159666),,,0.2373344616447115,,,257.38249062,,,震荡观察,,,61.29032258064516,46.774193548387096,58.06451612903226,38.70967741935484,67.74193548387096,,震荡市,,,,,41.8,2026-06-17,2026-06-18 13:12:51,20.057273653738516,24.340701301146304,,-0.7765,30.952380952380956,结构正常,-0.5281410176561068,-0.1165369488933612,,,,1.2870967741935484,,,,,,,,,,48.38709677419355,,,,29.2,,2060.96,2063.96,2055.18,2061.05,,,,,,,86.5,🟢 低位共振（可重仓潜伏）,🌱 底仓潜伏,,,,2026-06-17（akshare trend）,126.0,-0.0563271465442793,12.851376146741895,0.548,低位资金结构较好，但日内确认不足，适合分批观察。
传媒,传媒ETF广发(512980),,,-1.7492032539255131,,,359.44246641,,,震荡观察,,,45.16129032258064,64.51612903225806,4.838709677419355,29.032258064516128,38.70967741935484,,震荡市,,,,,27.3,2026-06-17,2026-06-18 13:12:51,0.0,14.325225748827052,,-2.221,11.538461538461538,结构正常,0.99202759071797,-0.1486761549218417,,,,1.5451612903225809,,,,,,,,,,9.67741935483871,,,,5.8,,682.75,682.75,670.78,675.15,,,,,,,29.4,⚪ 安全持仓,☕ 稳健持有,,,,2026-06-17（akshare trend）,130.0,-0.1780949470021265,0.0,0.548,无明显系统性风险，板块处于正常蓄势震荡。
公用事业,电力ETF广发(159611),,,-0.8571993921948406,,,697.15724896,,,震荡观察,,,51.61290322580645,29.03225806451613,12.903225806451612,25.80645161290323,64.51612903225806,,震荡市,,,,,32.0,2026-06-17,2026-06-18 13:12:51,0.0,25.006553702528933,,-1.591,20.610687022900763,结构正常,0.0117431283560379,0.0070370361624879,,,,1.235483870967742,,,,,,,,,,74.19354838709677,,,,22.8,,2676.26,2682.4,2646.81,2655.53,,,,,,,25.3,⚪ 安全持仓,☕ 稳健持有,,,,2026-06-17（akshare trend）,131.0,0.0142761305195387,31.38924364969104,0.548,无明显系统性风险，板块处于正常蓄势震荡。
农林牧渔,农业ETF华夏(516810),,,-1.6711343354483876,,,147.15811791,,,震荡观察,,,4.838709677419355,9.67741935483871,48.38709677419355,19.354838709677423,22.58064516129032,,震荡市,,,,,15.0,2026-06-17,2026-06-18 13:12:51,0.0,16.817724068116462,,-2.25,8.653846153846153,结构正常,-1.4096059025266263,-0.1008283858800197,,,,1.132258064516129,,,,,,,,,,4.838709677419355,,,,1.0,,2349.27,2349.27,2311.44,2318.28,,,,,,,92.8,🟢 低位共振（可重仓潜伏）,🌱 底仓潜伏,,,,2026-06-17（akshare trend）,104.0,-0.0492320248510019,0.0,0.548,低位资金结构较好，但日内确认不足，适合分批观察。
医药生物,医药ETF易方达(512010),,,-0.7561361329729177,,,703.87157943,,,震荡观察,,,16.129032258064516,17.741935483870968,16.129032258064516,35.483870967741936,70.96774193548387,,震荡市,,,,,24.2,2026-06-17,2026-06-18 13:12:51,0.0,15.887760977673798,,-1.243,20.876826722338205,结构正常,-1.2726980364118197,-0.068643730327629,,,,1.196774193548387,,,,,,,,,,4.838709677419355,,,,27.7,,7014.91,7014.93,6949.07,6972.07,,,,,,,75.3,🟢 低位共振（可重仓潜伏）,🌱 底仓潜伏,,,,2026-06-17（akshare trend）,479.0,-0.103770732168423,0.0,0.548,低位资金结构较好，但日内确认不足，适合分批观察。
商贸零售,暂无精确ETF｜消费ETF汇添富(159928),,,-2.20745946928973,,,180.17167516,,,震荡观察,,,19.35483870967742,46.774193548387096,35.483870967741936,12.903225806451616,19.35483870967742,,震荡市,,,,,20.7,2026-06-17,2026-06-18 13:12:51,10.695076485855031,20.036656276777144,,-2.6795,11.224489795918368,结构正常,-0.0768218996142063,0.0300910120496997,,,,1.2870967741935484,,,,,,,,,,29.03225806451613,,,,23.8,,1865.69,1865.69,1822.37,1828.3,,,,,,,47.7,⚪ 安全持仓,☕ 稳健持有,,,,2026-06-17（akshare trend）,98.0,0.0305218415256165,6.093285011325941,0.548,无明显系统性风险，板块处于正常蓄势震荡。
国防军工,军工ETF国泰(512660),,,1.376698524153186,,,904.53733937,,,指数失真(防骗),,,80.64516129032258,87.09677419354838,80.64516129032258,64.51612903225806,61.29032258064516,,震荡市,,,,,35.0,2026-06-17,2026-06-18 13:12:51,43.99341725814002,18.13673813456992,,-0.254,45.65217391304348,权重掩护(失真),0.7685525083956665,-0.0127937918605349,,,,2.1516129032258067,,,,,,,,,,67.74193548387096,,,,51.3,,1835.27,1879.66,1835.27,1871.13,,,,,,,50.7,⚪ 安全持仓,🦊 诱多陷阱,,,,2026-06-17（akshare trend）,138.0,0.0518133969719523,26.42169285345566,0.548,【微观否决】指数强于成分股广度，追高胜率下降，等待确认。
基础化工,化工ETF鹏华(159870),,,-0.2035658401101869,,,1875.6414778,,,高位派发(快跑),,,70.96774193548387,67.74193548387096,90.32258064516128,22.58064516129032,98.38709677419357,,震荡市,,,,,53.4,2026-06-17,2026-06-18 13:12:51,89.4230766985763,25.22132518097831,,-1.6965,27.31707317073171,结构正常,0.1705325663326965,-0.0214712695526012,,,,1.6096774193548389,,,,,,,,,,83.87096774193549,,,,100.0,,4763.64,4807.01,4751.7,4789.66,,,,,,,74.7,🔴 终极逃顶（高风险）,🚨 强制清仓,,,,2026-06-17（akshare trend）,410.0,0.0096574669116863,58.291465510091896,0.548,【微观否决】高位放量风险显著，优先降风险，避免继续追高。
家用电器,家电ETF国泰(159996),,,-0.4838049139401001,,,256.58073354,,,震荡观察,,,9.67741935483871,12.903225806451612,19.35483870967742,58.064516129032256,58.06451612903226,,震荡市,,,,,26.8,2026-06-17,2026-06-18 13:12:51,0.0,7.276342870830168,,-1.58,28.723404255319156,结构正常,-0.7500543330289859,-0.0593405180692536,,,,1.1709677419354838,,,,,,,,,,16.129032258064516,,,,21.3,,8619.42,8631.58,8575.82,8602.16,,,,,,,88.3,🟢 低位共振（可重仓潜伏）,🌱 底仓潜伏,,,,2026-06-17（akshare trend）,94.0,-0.1087353947047616,24.102689538530758,0.548,低位资金结构较好，但日内确认不足，适合分批观察。
建筑材料,建材ETF国泰(159745),,,4.309950657664041,,,519.22516562,,,指数失真(防骗),,,98.38709677419357,93.5483870967742,98.38709677419357,95.16129032258064,32.25806451612903,,震荡市,,,,,40.5,2026-06-17,2026-06-18 13:12:51,99.99999991572702,9.778253897309767,,-0.3865,41.66666666666667,权重掩护(失真),4.392324613498918,0.0873255445148749,,,,2.17741935483871,,,,,,,,,,93.5483870967742,,,,100.0,,7129.24,7511.76,7129.24,7437.07,,,,,,,0.0,🔴 终极逃顶（高风险）,🦊 诱多陷阱,,,,2026-06-17（akshare trend）,72.0,0.1824425355623791,99.99999999994836,0.548,【微观否决】指数强于成分股广度，追高胜率下降，等待确认。
